bit_position,zeros_count,ones_count,majority,stability
0,40,0,0,1.0
1,0,40,1,1.0
2,0,40,1,1.0
3,40,0,0,1.0
4,40,0,0,1.0
5,0,40,1,1.0
6,0,40,1,1.0
7,0,40,1,1.0
8,5,35,1,0.875
9,39,1,0,0.975
10,37,3,0,0.925
11,40,0,0,1.0
12,0,40,1,1.0
13,0,40,1,1.0
14,32,8,0,0.8
15,7,33,1,0.825
16,39,1,0,0.975
17,0,40,1,1.0
18,7,33,1,0.825
19,0,40,1,1.0
20,0,40,1,1.0
21,39,1,0,0.975
22,40,0,0,1.0
23,0,40,1,1.0
24,17,23,1,0.575
25,2,38,1,0.95
26,40,0,0,1.0
27,0,40,1,1.0
28,1,39,1,0.975
29,0,40,1,1.0
30,11,29,1,0.725
31,40,0,0,1.0
32,39,1,0,0.975
33,0,40,1,1.0
34,21,19,0,0.525
35,40,0,0,1.0
36,40,0,0,1.0
37,0,40,1,1.0
38,0,40,1,1.0
39,40,0,0,1.0
40,0,40,1,1.0
41,40,0,0,1.0
42,0,40,1,1.0
43,0,40,1,1.0
44,0,40,1,1.0
45,37,3,0,0.925
46,0,40,1,1.0
47,0,40,1,1.0
48,40,0,0,1.0
49,0,40,1,1.0
50,22,18,0,0.55
51,2,38,1,0.95
52,0,40,1,1.0
53,0,40,1,1.0
54,40,0,0,1.0
55,5,35,1,0.875
56,18,22,1,0.55
57,40,0,0,1.0
58,0,40,1,1.0
59,0,40,1,1.0
60,38,2,0,0.95
61,39,1,0,0.975
62,0,40,1,1.0
63,0,40,1,1.0
64,0,40,1,1.0
65,0,40,1,1.0
66,0,40,1,1.0
67,1,39,1,0.975
68,12,28,1,0.7
69,38,2,0,0.95
70,40,0,0,1.0
71,0,40,1,1.0
72,0,40,1,1.0
73,37,3,0,0.925
74,40,0,0,1.0
75,0,40,1,1.0
76,0,40,1,1.0
77,39,1,0,0.975
78,40,0,0,1.0
79,0,40,1,1.0
80,0,40,1,1.0
81,0,40,1,1.0
82,40,0,0,1.0
83,39,1,0,0.975
84,40,0,0,1.0
85,40,0,0,1.0
86,0,40,1,1.0
87,8,32,1,0.8
88,28,12,0,0.7
89,40,0,0,1.0
90,17,23,1,0.575
91,36,4,0,0.9
92,0,40,1,1.0
93,0,40,1,1.0
94,1,39,1,0.975
95,40,0,0,1.0
96,39,1,0,0.975
97,0,40,1,1.0
98,40,0,0,1.0
99,0,40,1,1.0
100,0,40,1,1.0
101,0,40,1,1.0
102,12,28,1,0.7
103,36,4,0,0.9
104,0,40,1,1.0
105,25,15,0,0.625
106,40,0,0,1.0
107,40,0,0,1.0
108,40,0,0,1.0
109,2,38,1,0.95
110,1,39,1,0.975
111,1,39,1,0.975
112,0,40,1,1.0
113,40,0,0,1.0
114,6,34,1,0.85
115,40,0,0,1.0
116,0,40,1,1.0
117,2,38,1,0.95
118,0,40,1,1.0
119,0,40,1,1.0
120,0,40,1,1.0
121,4,36,1,0.9
122,37,3,0,0.925
123,1,39,1,0.975
124,39,1,0,0.975
125,0,40,1,1.0
126,0,40,1,1.0
127,0,40,1,1.0
128,40,0,0,1.0
129,40,0,0,1.0
130,40,0,0,1.0
131,40,0,0,1.0
132,40,0,0,1.0
133,40,0,0,1.0
134,0,40,1,1.0
135,17,23,1,0.575
136,40,0,0,1.0
137,40,0,0,1.0
138,40,0,0,1.0
139,40,0,0,1.0
140,0,40,1,1.0
141,40,0,0,1.0
142,40,0,0,1.0
143,40,0,0,1.0
144,40,0,0,1.0
145,40,0,0,1.0
146,40,0,0,1.0
147,0,40,1,1.0
148,0,40,1,1.0
149,40,0,0,1.0
150,0,40,1,1.0
151,0,40,1,1.0
152,40,0,0,1.0
153,0,40,1,1.0
154,0,40,1,1.0
155,24,16,0,0.6
156,40,0,0,1.0
157,40,0,0,1.0
158,0,40,1,1.0
159,0,40,1,1.0
160,40,0,0,1.0
161,0,40,1,1.0
162,38,2,0,0.95
163,40,0,0,1.0
164,0,40,1,1.0
165,1,39,1,0.975
166,0,40,1,1.0
